Observation,FLC,Dataset,Method,DGM.Y,DGM.X,Censoring,SampleSize,ExtraVars,Cindex2.5,Cindex10,Cindex50,Cindex80,Cindex90,Cindex97.5,IBS,qloss2.5,qloss10,qloss50,qloss80,qloss90,qloss97.5
1,1,1,logrank,Weibull,Linear,10,400,None,0.778672346,0.809448369,0.845808228,0.842198213,0.844769375,0.818148764,0.040376758,143.3315852,572.1289911,2758.496418,4083.407112,4285.197391,4391.022951
2,1,1,L1,Weibull,Linear,10,400,None,0.798410555,0.831420112,0.859702888,0.814279036,0.809058799,0.753739871,0.040376758,143.3927406,572.9794336,2788.715579,4155.80815,4439.622388,4594.3829
3,1,1,CIF,Weibull,Linear,10,400,None,0.811396219,0.854145024,0.857703096,0.852223146,0.847444421,0.782360274,0.044241223,143.3957684,573.2448243,2815.421253,4151.163079,4458.184742,4703.258037
4,1,1,RotSF,Weibull,Linear,10,400,None,0.817265739,0.83528984,0.824174112,0.830666944,0.835108041,0.816382713,0.039111354,143.3401261,572.1199579,2767.639209,4059.022583,4411.257783,4669.616654
5,1,1,ORSF,Weibull,Linear,10,400,None,0.851106379,0.880973405,0.894426553,0.893413671,0.885674216,0.84996364,0.040226774,143.3670322,572.6365214,2780.515302,4106.644186,4325.473742,4358.461405
6,1,1,RIST,Weibull,Linear,10,400,None,0.803656763,0.83334199,0.844068149,0.844691461,0.845444629,0.840094536,0.038125264,143.3082225,571.3515428,2720.386347,4044.939011,4276.539783,4372.077555
7,1,2,logrank,Weibull,Linear,10,400,None,0.756409596,0.792370264,0.814765239,0.836465198,0.819089786,0.782923188,0.027851141,18.42407377,72.61833338,315.8597738,361.5204878,314.2906192,248.0208836
8,1,2,L1,Weibull,Linear,10,400,None,0.812216845,0.83327327,0.817159185,0.770644563,0.749588138,0.704952636,0.027851141,18.45852959,73.47454917,312.6773876,412.5549202,368.0782638,270.0706434
9,1,2,CIF,Weibull,Linear,10,400,None,0.821535214,0.817776977,0.837597817,0.807325988,0.790285214,0.762021211,0.030175797,18.46051988,73.56986155,318.5459391,415.8974565,425.7282195,288.3258481
10,1,2,RotSF,Weibull,Linear,10,400,None,0.784519152,0.798599671,0.81345243,0.820994646,0.8151771,0.796566104,0.030016389,18.38674433,72.48470062,327.6170783,392.3203531,361.2262007,249.5779433
11,1,2,ORSF,Weibull,Linear,10,400,None,0.821149094,0.851498147,0.874562397,0.870443781,0.85976112,0.82851112,0.025141557,18.45108209,73.38432256,302.0266988,324.6656885,314.0751152,257.3385607
12,1,2,RIST,Weibull,Linear,10,400,None,0.779370881,0.805549835,0.822075783,0.821252059,0.801791598,0.780014415,0.029230987,18.41165221,72.47201859,333.8608668,393.1219464,340.5891905,229.3352144
13,1,3,logrank,Weibull,Linear,10,400,None,0.784281621,0.814853664,0.839669464,0.862617683,0.831099059,0.729124028,0.063345054,69.41310873,276.4981383,1286.036141,1639.984927,1767.550566,1812.42576
14,1,3,L1,Weibull,Linear,10,400,None,0.801678264,0.83242939,0.809916087,0.798966435,0.788656365,0.718123209,0.063345054,69.48371449,277.3760329,1300.176574,1724.8857,1771.678367,1776.713618
15,1,3,CIF,Weibull,Linear,10,400,None,0.829589644,0.850721449,0.844223291,0.817360827,0.798889685,0.714285714,0.074872998,69.48514066,277.5423514,1329.360572,1768.087884,1839.969396,1827.773046
16,1,3,RotSF,Weibull,Linear,10,400,None,0.814495497,0.826391731,0.828156979,0.826468481,0.828003479,0.798736185,0.063518399,69.35424713,275.7408605,1276.464472,1717.257613,1801.152256,1817.112907
17,1,3,ORSF,Weibull,Linear,10,400,None,0.836829718,0.872492837,0.890912812,0.888328899,0.871213672,0.748158002,0.062610533,69.47139935,277.2140979,1292.858808,1658.97587,1759.119834,1819.39234
18,1,3,RIST,Weibull,Linear,10,400,None,0.836548301,0.836343635,0.843711625,0.841946377,0.825010233,0.744167008,0.061959063,69.36210534,275.834487,1281.96529,1626.20408,1762.876322,1806.118283
19,1,4,logrank,Weibull,Linear,10,400,None,0.735155196,0.766401952,0.807484688,0.821524966,0.802398007,0.743875221,0.034470613,81.12045841,323.1671915,1555.174221,2153.61098,2246.298682,2247.214972
20,1,4,L1,Weibull,Linear,10,400,None,0.775874598,0.812545417,0.828895464,0.77885913,0.760562649,0.71088965,0.034470613,81.14463695,324.3564883,1526.697626,2261.016521,2395.024137,2144.150945
21,1,4,CIF,Weibull,Linear,10,400,None,0.798349424,0.834890481,0.859675075,0.793833697,0.793158933,0.727654936,0.033883186,81.14298097,324.4015157,1552.041675,2204.072431,2310.770993,2287.053531
22,1,4,RotSF,Weibull,Linear,10,400,None,0.818566386,0.838316205,0.833177619,0.819864009,0.813868992,0.792847503,0.030881552,81.11392188,323.2508989,1506.832445,2092.467097,2212.96011,2213.370334
23,1,4,ORSF,Weibull,Linear,10,400,None,0.837537631,0.860505554,0.892972075,0.876699886,0.859856742,0.786852486,0.027867794,81.1261566,323.9285073,1522.224166,2008.935375,2186.47348,2242.088518
24,1,4,RIST,Weibull,Linear,10,400,None,0.802761341,0.823108066,0.853446486,0.859571265,0.836733105,0.778314129,0.028836683,81.10141712,322.8482224,1491.371793,2003.146633,2211.106496,2229.508757
25,1,5,logrank,Weibull,Linear,10,400,None,0.73316947,0.774204398,0.798628719,0.799016818,0.791979301,0.70771022,0.06198448,65.75835393,262.6400905,1266.678265,1798.791897,1881.179342,1907.434797
26,1,5,L1,Weibull,Linear,10,400,None,0.734851229,0.77912031,0.797800776,0.775187581,0.753661061,0.715472186,0.06198448,65.77592117,262.846294,1281.338057,1773.612911,1741.063266,1597.176085
